,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
13,PERSON,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,Florida\n\nEdward L. Artau
14,ORG,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,Circuit
15,PERSON,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,by:\n\nJanette P. Moreno
16,ORG,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,RMR
17,ORG,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,CRR
18,ORG,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,CLR
19,ORG,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,CCP
20,ORG,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Inc.\n\n1218 S.E. 3rd
21,GPE,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Lauderdale
22,GPE,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Florida
23,CARDINAL,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,33316\n\n954.525.2221\n\nElectronically
24,PERSON,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Janette Moreno
25,QUANTITY,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3
26,CARDINAL,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,4\n\n5
27,PHONE_NUMBER,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,525.2221
28,PHONE_NUMBER,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,894-2796
29,PHONE_NUMBER,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,525 2221
30,PHONE_NUMBER,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,894 2796
31,INTERNATIONAL_PHONE_NUMBER,20,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, GPE:Lauderdale, GPE:Florida, CARDINAL:33316\n\n954.525.2221\n\nElectronically, PERSON:Janette, PERSON:Moreno, QUANTITY:101, QUANTITY:-, QUANTITY:102, QUANTITY:-, QUANTITY:894, QUANTITY:-, QUANTITY:2796)\n\n89734d16, QUANTITY:-, QUANTITY:9ef, QUANTITY:1, QUANTITY:-419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3, CARDINAL:4\n\n5","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,101-102-894-2796
32,TIME,2,"TIME:6, TIME:7",6 7,139,7,6 7
33,CARDINAL,1,CARDINAL:13,13,146,13,13
34,DATE,2,"DATE:14, DATE:15",14 15,147,15,14 15
35,CARDINAL,1,CARDINAL:16,16,149,16,16
36,CARDINAL,3,"CARDINAL:18, CARDINAL:19, CARDINAL:20",18 19 20 21 22,151,18,18
37,CARDINAL,3,"CARDINAL:18, CARDINAL:19, CARDINAL:20",18 19 20 21 22,151,18,19
38,CARDINAL,3,"CARDINAL:18, CARDINAL:19, CARDINAL:20",18 19 20 21 22,151,18,20
39,CARDINAL,9,"CARDINAL:23, CARDINAL:24, CARDINAL:25\n\nPage, CARDINAL:5404\n\nOn, ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:OFFICES, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,23
40,CARDINAL,9,"CARDINAL:23, CARDINAL:24, CARDINAL:25\n\nPage, CARDINAL:5404\n\nOn, ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:OFFICES, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,24
41,CARDINAL,9,"CARDINAL:23, CARDINAL:24, CARDINAL:25\n\nPage, CARDINAL:5404\n\nOn, ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:OFFICES, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,25\n\nPage 5404\n\nOn
42,ORG,9,"CARDINAL:23, CARDINAL:24, CARDINAL:25\n\nPage, CARDINAL:5404\n\nOn, ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:OFFICES, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,Plaintiff:\n\nSCHLESINGER LAW OFFICES
43,ORG,9,"CARDINAL:23, CARDINAL:24, CARDINAL:25\n\nPage, CARDINAL:5404\n\nOn, ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:OFFICES, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,P.A. 1212
44,GPE,4,"GPE:Fort, GPE:Lauderdale, GPE:Florida, DATE:33316","Southeast Third Avenue Fort Lauderdale, Florida  33316",168,Lauderdale,Fort Lauderdale
45,GPE,4,"GPE:Fort, GPE:Lauderdale, GPE:Florida, DATE:33316","Southeast Third Avenue Fort Lauderdale, Florida  33316",168,Lauderdale,Florida
46,DATE,4,"GPE:Fort, GPE:Lauderdale, GPE:Florida, DATE:33316","Southeast Third Avenue Fort Lauderdale, Florida  33316",168,Lauderdale,33316
47,PERSON,24,"PERSON:STEVEN, PERSON:HAMMER, PERSON:ESQUIRE\n\nSCOTT, PERSON:P., PERSON:SCHLESINGER, PERSON:ESQUIRE, PERSON:JONATHAN, PERSON:R., PERSON:GDANSKI, GPE:ESQUIRE, GPE:BRITTANY, PERSON:ESQUIRE\n\nOn, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, CARDINAL:100, LOC:North, LOC:Tryon, LOC:Street, GPE:Charlotte, GPE:North, GPE:Carolina","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,STEVEN HAMMER
48,PERSON,24,"PERSON:STEVEN, PERSON:HAMMER, PERSON:ESQUIRE\n\nSCOTT, PERSON:P., PERSON:SCHLESINGER, PERSON:ESQUIRE, PERSON:JONATHAN, PERSON:R., PERSON:GDANSKI, GPE:ESQUIRE, GPE:BRITTANY, PERSON:ESQUIRE\n\nOn, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, CARDINAL:100, LOC:North, LOC:Tryon, LOC:Street, GPE:Charlotte, GPE:North, GPE:Carolina","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,ESQUIRE\n\nSCOTT P. SCHLESINGER
49,PERSON,24,"PERSON:STEVEN, PERSON:HAMMER, PERSON:ESQUIRE\n\nSCOTT, PERSON:P., PERSON:SCHLESINGER, PERSON:ESQUIRE, PERSON:JONATHAN, PERSON:R., PERSON:GDANSKI, GPE:ESQUIRE, GPE:BRITTANY, PERSON:ESQUIRE\n\nOn, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, CARDINAL:100, LOC:North, LOC:Tryon, LOC:Street, GPE:Charlotte, GPE:North, GPE:Carolina","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,ESQUIRE JONATHAN R. GDANSKI
