,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
10,ORG,3,"ORG:Terry, ORG:T., ORG:Hurley","West Adams Street\n\n\n\nJacksonville, Florida 32202\n\n\n\nAs reported by: Terry T. Hurley, RPR and a Notary Public\n\n\n\nAPPEARANCES",99,reported,Terry T. Hurley
11,ORG,14,"ORG:Plaintiff:\n\n\n\nGREGORY, ORG:PRYSOCK, ORG:ESQUIRE, ORG:KEITH, ORG:MITNIK, PERSON:ESQUIRE\n\n\n\nKATHERINE, PERSON:MASSA, ORG:Esguire, ORG:Brannock, ORG:&, ORG:Humphries\n\n\n\n1111, ORG:West, ORG:Cass, ORG:Street","behalf of Plaintiff:\n\n\n\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\n\n\n\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\n\n\n\nMorgan & Morgan\n\n\n\nSouth Laura Street\n\n\n\nJacksonville, FL  32202\n\n\n\nCELENE HUMPHRIES, Esguire Brannock & Humphries\n\n\n\n1111 West Cass Street,",119,behalf,Plaintiff:\n\n\n\nGREGORY PRYSOCK
12,ORG,14,"ORG:Plaintiff:\n\n\n\nGREGORY, ORG:PRYSOCK, ORG:ESQUIRE, ORG:KEITH, ORG:MITNIK, PERSON:ESQUIRE\n\n\n\nKATHERINE, PERSON:MASSA, ORG:Esguire, ORG:Brannock, ORG:&, ORG:Humphries\n\n\n\n1111, ORG:West, ORG:Cass, ORG:Street","behalf of Plaintiff:\n\n\n\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\n\n\n\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\n\n\n\nMorgan & Morgan\n\n\n\nSouth Laura Street\n\n\n\nJacksonville, FL  32202\n\n\n\nCELENE HUMPHRIES, Esguire Brannock & Humphries\n\n\n\n1111 West Cass Street,",119,behalf,ESQUIRE KEITH MITNIK
13,PERSON,14,"ORG:Plaintiff:\n\n\n\nGREGORY, ORG:PRYSOCK, ORG:ESQUIRE, ORG:KEITH, ORG:MITNIK, PERSON:ESQUIRE\n\n\n\nKATHERINE, PERSON:MASSA, ORG:Esguire, ORG:Brannock, ORG:&, ORG:Humphries\n\n\n\n1111, ORG:West, ORG:Cass, ORG:Street","behalf of Plaintiff:\n\n\n\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\n\n\n\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\n\n\n\nMorgan & Morgan\n\n\n\nSouth Laura Street\n\n\n\nJacksonville, FL  32202\n\n\n\nCELENE HUMPHRIES, Esguire Brannock & Humphries\n\n\n\n1111 West Cass Street,",119,behalf,ESQUIRE\n\n\n\nKATHERINE MASSA
14,ORG,14,"ORG:Plaintiff:\n\n\n\nGREGORY, ORG:PRYSOCK, ORG:ESQUIRE, ORG:KEITH, ORG:MITNIK, PERSON:ESQUIRE\n\n\n\nKATHERINE, PERSON:MASSA, ORG:Esguire, ORG:Brannock, ORG:&, ORG:Humphries\n\n\n\n1111, ORG:West, ORG:Cass, ORG:Street","behalf of Plaintiff:\n\n\n\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\n\n\n\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\n\n\n\nMorgan & Morgan\n\n\n\nSouth Laura Street\n\n\n\nJacksonville, FL  32202\n\n\n\nCELENE HUMPHRIES, Esguire Brannock & Humphries\n\n\n\n1111 West Cass Street,",119,behalf,Esguire Brannock & Humphries\n\n\n\n1111 West Cass Street
15,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,R. J. Reynolds:\n\n\n\nJOHN WALKER
16,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER
17,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN
18,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,N.E. Suite 800\n\n\n\nAtlanta
19,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,Georgia  30309-3053\n\n\n\nMARK R. SEIDEN
20,ORG,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York
21,PHONE_NUMBER,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,309-3053
22,PHONE_NUMBER,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,281-1047
23,PHONE_NUMBER,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,309 3053
24,PHONE_NUMBER,25,"ORG:R., ORG:J., ORG:Reynolds:\n\n\n\nJOHN, ORG:WALKER, ORG:ESQUIRE\n\n\n\nJENNIFER, ORG:L., ORG:WEIZENECKER, ORG:ESQUIRE\n\n\n\nMICHAEL, ORG:C., ORG:MCLAUGHLIN, ORG:N.E., ORG:Suite, ORG:800\n\n\n\nAtlanta, ORG:Georgia, ORG:30309, ORG:-, ORG:3053\n\n\n\nMARK, ORG:R., ORG:SEIDEN, ORG:Esguire, ORG:Jones, ORG:Day\n\n\n\n250, ORG:Versey, ORG:Street\n\n\n\nNew, ORG:York","Suite 200 Tampa, Florida  33606\n\n\n\nOn behalf of R. J. Reynolds:\n\n\n\nJOHN WALKER, ESQUIRE\n\n\n\nJENNIFER L. WEIZENECKER, ESQUIRE\n\n\n\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\n\n\n\n1420 Peachtree Street, N.E. Suite 800\n\n\n\nAtlanta, Georgia  30309-3053\n\n\n\nMARK R. SEIDEN, Esguire Jones Day\n\n\n\n250 Versey Street\n\n\n\nNew York, New York  10281-1047",154,Suite,281 1047
25,PERSON,2,"PERSON:Ben, PERSON:Wooded","Ben Wooded, Esquire\n\n\n\nBrook Jagues, Esquire 22\n\n\n\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ",211,Wooded,Ben Wooded
26,PERSON,1,PERSON:Mr.,Mr.   Prysock--------------------------\n\n\n\nEXHIBITS\n\n\n\n-none-\n\n\n\n1124\n\nTHE COURT:  ,254,COURT,Mr.   
27,ORG,3,"ORG:may.\n\n\n\nDIRECT, ORG:EXAMINATION\n\n\n\nBY, ORG:MR",You may.\n\n\n\nDIRECT EXAMINATION\n\n\n\nBY MR.,276,You,may.\n\n\n\nDIRECT EXAMINATION\n\n\n\nBY MR
28,ORG,1,ORG:PRYSOCK:\n\n\n\nQ,PRYSOCK:\n\n\n\nQ    ,281,PRYSOCK:\n\n\n\nQ,PRYSOCK:\n\n\n\nQ    
29,PERSON,2,"PERSON:Dr., PERSON:Cummings","Good morning, Dr. Cummings.  ",283,morning,Dr. Cummings
30,ORG,1,ORG:name.\n\n\n\nA,name.\n\n\n\nA    ,295,name.\n\n\n\nA,name.\n\n\n\nA    
31,ORG,2,"ORG:Medical, ORG:University",I'm a professor in the department of psychiatry\n\n\n\nand behavioral sciences at the Medical University of\n\n\n\nSouth Carolina.\n\n\n\nQ    ,310,'m,Medical University
32,ORG,2,"ORG:but\n\n\n\nwhat, ORG:I","but\n\n\n\nwhat I would like to do first is start with your\n\n\n\neducation, where you went to; where you attended\n\n\n\ncollege, where you did your postgraduate studies, what\n\n\n\nit was in, and that type thing.\n\n\n\nA    Sure.  ",370,start,but\n\n\n\nwhat I
33,ORG,2,"ORG:Miami, ORG:University","Southern College here for a semester, and then I\n\n\n\ntransferred to Miami University.  ",420,College,Miami University
34,ORG,6,"ORG:Miami, ORG:,, ORG:Ohio, ORG:Oxford, ORG:,, ORG:Ohio","Miami, Ohio, the one\n\n\n\nup in Oxford, Ohio, not down here, and I did my degree\n\n\n\nin physical education and health education.  ",435,Miami,"Miami, Ohio"
35,ORG,6,"ORG:Miami, ORG:,, ORG:Ohio, ORG:Oxford, ORG:,, ORG:Ohio","Miami, Ohio, the one\n\n\n\nup in Oxford, Ohio, not down here, and I did my degree\n\n\n\nin physical education and health education.  ",435,Miami,"Oxford, Ohio"
36,ORG,8,"ORG:University, ORG:of, ORG:Michigan, ORG:Ph.D., ORG:at, ORG:the\n\n\n\nUniversity, ORG:of, ORG:Michigan","After that\n\n\n\nI went to the University of Michigan where I did a\n\n\n\nmaster's of public health and health behavior and health\n\n\n\neducation, and then I continued to do my Ph.D. at the\n\n\n\nUniversity of Michigan in the same area, public health\n\n\n\neducation, health behavior.\n\n\n\nSo",462,went,University of Michigan
37,ORG,8,"ORG:University, ORG:of, ORG:Michigan, ORG:Ph.D., ORG:at, ORG:the\n\n\n\nUniversity, ORG:of, ORG:Michigan","After that\n\n\n\nI went to the University of Michigan where I did a\n\n\n\nmaster's of public health and health behavior and health\n\n\n\neducation, and then I continued to do my Ph.D. at the\n\n\n\nUniversity of Michigan in the same area, public health\n\n\n\neducation, health behavior.\n\n\n\nSo",462,went,Ph.D. at the\n\n\n\nUniversity of Michigan
38,ORG,3,"ORG:the\n\n\n\nUniversity, ORG:of, ORG:Michigan",After you received your doctorate at the\n\n\n\nUniversity of Michigan where did you go to work?\n\n\n\nA    ,518,go,the\n\n\n\nUniversity of Michigan
39,PERSON,3,"PERSON:I, PERSON:was\n\n\n\nfinishing, PERSON:Ph.D.","Well, I started out actually as I was\n\n\n\nfinishing up my Ph.D.",534,started,I was\n\n\n\nfinishing
40,PERSON,3,"PERSON:I, PERSON:was\n\n\n\nfinishing, PERSON:Ph.D.","Well, I started out actually as I was\n\n\n\nfinishing up my Ph.D.",534,started,Ph.D.
41,ORG,9,"ORG:Wayne, ORG:State\n\n\n\nUniversity, ORG:Roswell, ORG:Park\n\n\n\nCancer, ORG:Institute, ORG:Buffalo, ORG:,, ORG:New, ORG:York","I was working at Wayne State\n\n\n\nUniversity in the department of community medicine\n\n\n\nthere, and then I was offered a job at Roswell Park\n\n\n\nCancer Institute in Buffalo, New York, and I move to\n\n\n\nBuffalo in the early 80's, early part of '81, and I\n\n\n\nstayed there until 2011.\n\n\n\nSo",546,working,Wayne State\n\n\n\nUniversity
42,ORG,9,"ORG:Wayne, ORG:State\n\n\n\nUniversity, ORG:Roswell, ORG:Park\n\n\n\nCancer, ORG:Institute, ORG:Buffalo, ORG:,, ORG:New, ORG:York","I was working at Wayne State\n\n\n\nUniversity in the department of community medicine\n\n\n\nthere, and then I was offered a job at Roswell Park\n\n\n\nCancer Institute in Buffalo, New York, and I move to\n\n\n\nBuffalo in the early 80's, early part of '81, and I\n\n\n\nstayed there until 2011.\n\n\n\nSo",546,working,Roswell Park\n\n\n\nCancer Institute
43,ORG,9,"ORG:Wayne, ORG:State\n\n\n\nUniversity, ORG:Roswell, ORG:Park\n\n\n\nCancer, ORG:Institute, ORG:Buffalo, ORG:,, ORG:New, ORG:York","I was working at Wayne State\n\n\n\nUniversity in the department of community medicine\n\n\n\nthere, and then I was offered a job at Roswell Park\n\n\n\nCancer Institute in Buffalo, New York, and I move to\n\n\n\nBuffalo in the early 80's, early part of '81, and I\n\n\n\nstayed there until 2011.\n\n\n\nSo",546,working,"Buffalo, New York"
44,ORG,4,"ORG:Roswell, ORG:Park, ORG:Cancer, ORG:Center",You said Roswell Park Cancer Center.  ,620,said,Roswell Park Cancer Center
45,ORG,2,"ORG:Roswell, ORG:Park\n\n\n\nCancer","For those\n\n\n\nwho may not be familiar with it from this part of the\n\n\n\ncountry, can you please tell us what the Roswell Park\n\n\n\nCancer",628,tell,Roswell Park\n\n\n\nCancer
46,ORG,2,"ORG:National, ORG:Cancer\n\n\n\nInstitute",That's a designated the National Cancer\n\n\n\nInstitute designates comprehensive cancer centers.\n\n\n\nThere's about 40 of them around the country.  ,654,'s,National Cancer\n\n\n\nInstitute
47,ORG,2,"ORG:Roswell, ORG:Park.\n\n\n\nI","Well, I started out as a junior scientist in\n\n\n\nthe department of cancer prevention, and my area of\n\n\n\nspecialty was in health behavior, and I got involved in\n\n\n\ndoing smoking cessation programs, and set up the clinics\n\n\n\nthat operated at Roswell Park.\n\n\n\nI continued to do that.  ",738,started,Roswell Park.\n\n\n\nI
48,PERSON,1,PERSON:quit.\n\n\n\nI,"Of course it's a\n\n\n\nresearch institution, so I was there to do research as\n\n\n\nwell, so a lot of my research focused on why people\n\n\n\nsmoke, why they have difficulties quitting, methods for\n\n\n\nhelping people quit.\n\n\n\nI was pretty successful at getting grants.  ",786,was,quit.\n\n\n\nI
49,PERSON,2,"PERSON:M.D., PERSON:Ph.D.","me, M.D.'s, Ph.D.'s, master's.  ",872,me,M.D.
50,PERSON,2,"PERSON:M.D., PERSON:Ph.D.","me, M.D.'s, Ph.D.'s, master's.  ",872,me,Ph.D.
51,PERSON,1,PERSON:call\n\n\n\nto,"We ran I\n\n\n\ncreated the New York State Smokers Quit Line, which\n\n\n\nprovided a toll free hotline for smokers to call\n\n\n\nto get help.  ",884,ran,call\n\n\n\nto
52,PERSON,1,PERSON:Charleston,"My family had all\n\n\n\nmoved, my kids had settled in Charleston.  ",942,settled,Charleston
53,PERSON,2,"PERSON:Charleston, PERSON:cessation\n\n\n\nservice","The Medical\n\n\n\nUniversity offered me a job, so I left the cold and went\n\n\n\nto see the grandkids down in Charleston, and I've been\n\n\n\nthere for five years, where I've essentially tried to\n\n\n\nreplicate the same kinds of activities.\n\n\n\nI have set up a hospital-based cessation\n\n\n\nservice for our patients.  ",955,left,Charleston
54,PERSON,2,"PERSON:Charleston, PERSON:cessation\n\n\n\nservice","The Medical\n\n\n\nUniversity offered me a job, so I left the cold and went\n\n\n\nto see the grandkids down in Charleston, and I've been\n\n\n\nthere for five years, where I've essentially tried to\n\n\n\nreplicate the same kinds of activities.\n\n\n\nI have set up a hospital-based cessation\n\n\n\nservice for our patients.  ",955,left,cessation\n\n\n\nservice
55,SOCIAL_SECURITY_NUMBER,0,,859-34-1544\n\nQ    ,1053,1544\n\nQ,859-34-1544
56,ORG,3,"ORG:Roswell, ORG:Park, ORG:center?\n\n\n\nA",And while at Roswell Park did you completely\n\n\n\nbecome the director of the tobacco cessation center?\n\n\n\nA    ,1059,completely\n\n\n\nbecome,Roswell Park
57,ORG,3,"ORG:Roswell, ORG:Park, ORG:center?\n\n\n\nA",And while at Roswell Park did you completely\n\n\n\nbecome the director of the tobacco cessation center?\n\n\n\nA    ,1059,completely\n\n\n\nbecome,center?\n\n\n\nA    
58,PERSON,3,"PERSON:Adventist, PERSON:Roswell, PERSON:Roswell","They used to have\n\n\n\nthe Seven-day Adventist program come in once a year to\n\n\n\nrun clinics at Roswell when I first arrived there, and\n\n\n\nso I established stop smoking clinics for patients and\n\n\n\noperated those personally for 30 years.\n\n\n\nSo I probably have personally taken care of\n\n\n\nabout 10,000 or more smokers, running the clinics when I\n\n\n\nwas at Roswell, and then we set up the quit line to\n\n\n\nbasically make it easier.  ",1085,established,Adventist
